drug_name,occurrences_in_pairs,distinct_ddinter_ids,ddinter_ids
Lorcaserin,206,1,DDInter1093
Trovafloxacin,206,1,DDInter1887
Trazodone,206,1,DDInter1851
Balsalazide,206,1,DDInter164
Butabarbital,206,1,DDInter256
Pentobarbital,206,1,DDInter1423
Troleandomycin,206,1,DDInter1882
Peginterferon alfa-2a,206,1,DDInter1407
Talazoparib,206,1,DDInter1742
Metreleptin,205,1,DDInter1201
Digoxin,205,1,DDInter554
Vibrio cholerae CVD 103-HgR strain live antigen,204,1,DDInter1931
Lyme disease vaccine (recombinant OspA),204,1,DDInter1109
Pfizer-BioNTech Covid-19 Vaccine,204,1,DDInter1436
Typhoid vaccine (inactivated),204,1,DDInter1893
Peginterferon alfa-2b,204,1,DDInter1408
Physostigmine,203,1,DDInter1462
Binimetinib,203,1,DDInter210
Pantoprazole,202,1,DDInter1388
Bendroflumethiazide,202,1,DDInter179
Acebutolol,202,1,DDInter12
Bepridil,202,1,DDInter192
Hydroxyzine,202,1,DDInter895
Desirudin,202,1,DDInter505
Fluorouracil,202,1,DDInter757
Furosemide,201,1,DDInter790
Indomethacin,201,1,DDInter921
Butalbital,201,1,DDInter257
Diatrizoate,201,1,DDInter533
Benzthiazide,200,1,DDInter188
Ritodrine,200,1,DDInter1606
Mefenamic acid,200,1,DDInter1139
Modafinil,200,1,DDInter1236
Phentolamine,200,1,DDInter1448
Bendamustine,200,1,DDInter178
Amphotericin B (cholesteryl sulfate),199,1,DDInter86
Octreotide,199,1,DDInter1323
Betaxolol,199,1,DDInter197
Delafloxacin,198,1,DDInter495
Tipranavir,198,1,DDInter1817
Amphotericin B (liposomal),198,1,DDInter88
Atenolol,198,1,DDInter130
Bisoprolol,198,1,DDInter216
Vitamin E,198,1,DDInter1943
Diethylpropion,197,1,DDInter547
Droperidol,197,1,DDInter603
Foscarnet,197,1,DDInter779
Tizanidine,197,1,DDInter1821
Interferon alfacon-1,197,1,DDInter946
Lanreotide,196,1,DDInter1021
Azelastine (nasal),196,1,DDInter154
Capecitabine,196,1,DDInter285
Sarilumab,196,1,DDInter1643
Trichlormethiazide,195,1,DDInter1861
Fondaparinux,195,1,DDInter775
Nintedanib,195,1,DDInter1296
Nitrous acid,195,1,DDInter1306
Donepezil,194,1,DDInter583
Armodafinil,194,1,DDInter119
Quinapril,194,1,DDInter1554
Iothalamic acid,194,1,DDInter965
Terbinafine,194,1,DDInter1768
Tinzaparin,194,1,DDInter1812
Enoxacin,193,1,DDInter644
Piroxicam,193,1,DDInter1478
Nevirapine,193,1,DDInter1285
Meloxicam,193,1,DDInter1143
Naldemedine,192,1,DDInter1258
Rabeprazole,192,1,DDInter1559
Diflunisal,192,1,DDInter551
Ipilimumab,192,1,DDInter969
Lumateperone,191,1,DDInter1102
Remdesivir,191,1,DDInter1578
Lurasidone,190,1,DDInter1104
Megestrol acetate,190,1,DDInter1141
Ketoprofen,190,1,DDInter1009
Nalidixic acid,189,1,DDInter1259
Sonidegib,189,1,DDInter1701
Rifabutin,189,1,DDInter1589
Paroxetine,189,1,DDInter1397
Bumetanide,188,1,DDInter248
Etacrynic acid,188,1,DDInter686
Fosaprepitant,188,1,DDInter778
Rufinamide,188,1,DDInter1627
Fluticasone,188,1,DDInter766
Ramucirumab,187,1,DDInter1566
Gemcitabine,187,1,DDInter811
Dofetilide,186,1,DDInter580
Fenoprofen,186,1,DDInter721
Felodipine,186,1,DDInter716
Lusutrombopag,186,1,DDInter1106
Diclofenac (topical),186,1,DDInter539
Sulindac,185,1,DDInter1729
Valbenazine,185,1,DDInter1909
Desvenlafaxine,185,1,DDInter511
Interferon alfa-n1,185,1,DDInter944
Lenalidomide,185,1,DDInter1035
Mazindol,184,1,DDInter1126
Meclofenamic acid,184,1,DDInter1135
Procainamide,184,1,DDInter1524
Levamlodipine,184,1,DDInter1045
Zinc gluconate,183,1,DDInter1965
Zinc sulfate,183,1,DDInter1966
Etodolac,183,1,DDInter699
Ketorolac,183,1,DDInter1010
Oxaprozin,183,1,DDInter1358
Nabumetone,183,1,DDInter1254
Prednisolone (ophthalmic),183,1,DDInter1514
Revefenacin,183,1,DDInter1586
Dipyridamole,183,1,DDInter573
Argatroban,183,1,DDInter117
Lepirudin,183,1,DDInter1037
Lomustine,183,1,DDInter1086
Arformoterol,182,1,DDInter116
Levosalbutamol,182,1,DDInter1063
Propafenone,182,1,DDInter1534
Rilpivirine,182,1,DDInter1595
Tolmetin,182,1,DDInter1831
Acrivastine,182,1,DDInter23
Cocaine (nasal),182,1,DDInter426
Letermovir,182,1,DDInter1039
Iopromide,182,1,DDInter964
Ioversol,182,1,DDInter966
