snapshot_date,record_type,atc_code,atc_name,ddd,uom,adm_r,note,brand_name,dosage_form,ingredients,ddd_comb
2021-12-03,main,A05A,BILE THERAPY,,,,,,,,
2021-12-03,main,A05AA,Bile acids and derivatives,,,,,,,,
2021-12-03,main,A05AA01,chenodeoxycholic acid,1.0,g,O,,,,,
2021-12-03,main,A05AA02,ursodeoxycholic acid,0.75,g,O,,,,,
2021-12-03,main,A05AA03,cholic acid,,,,,,,,
2021-12-03,main,A05AA04,obeticholic acid,10.0,mg,O,,,,,
2021-12-03,main,A05AB,Preparations for biliary tract therapy,,,,,,,,
2021-12-03,main,A05AB01,nicotinyl methylamide,,,,,,,,
2021-12-03,main,A05AX,Other drugs for bile therapy,,,,,,,,
2021-12-03,main,A05AX01,piprozolin,,,,,,,,
2021-12-03,main,A05AX02,hymecromone,,,,,,,,
2021-12-03,main,A05AX03,cyclobutyrol,,,,,,,,
2021-12-03,main,A05B,"LIVER THERAPY, LIPOTROPICS",,,,,,,,
2021-12-03,main,A05BA,Liver therapy,,,,,,,,
2021-12-03,main,A05BA01,arginine glutamate,,,,,,,,
2021-12-03,main,A05BA03,silymarin,,,,,,,,
2021-12-03,main,A05BA04,citiolone,,,,,,,,
2021-12-03,main,A05BA05,epomediol,,,,,,,,
2021-12-03,main,A05BA06,ornithine oxoglurate,,,,,,,,
2021-12-03,main,A05BA07,tidiacic arginine,,,,,,,,
2021-12-03,main,A05BA08,glycyrrhizic acid,,,,,,,,
2021-12-03,main,A05BA09,metadoxine,,,,,,,,
2021-12-03,main,A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,,,,,,,,
2021-12-03,main,A06,DRUGS FOR CONSTIPATION,,,,,,,,
2021-12-03,main,A06A,DRUGS FOR CONSTIPATION,,,,,,,,
2021-12-03,main,A06AA,"Softeners, emollients",,,,,,,,
2021-12-03,main,A06AA01,liquid paraffin,15.0,g,O,,,,,
2021-12-03,main,A06AA02,docusate sodium,0.15,g,O,,,,,
2021-12-03,main,A06AA51,"liquid paraffin, combinations",,,,,,,,
2021-12-03,main,A06AB,Contact laxatives,,,,,,,,
2021-12-03,main,A06AB01,oxyphenisatine,10.0,mg,O,,,,,
2021-12-03,main,A06AB02,bisacodyl,10.0,mg,O,,,,,
2021-12-03,main,A06AB02,bisacodyl,10.0,mg,R,,,,,
2021-12-03,main,A06AB03,dantron,50.0,mg,O,,,,,
2021-12-03,main,A06AB04,phenolphthalein,0.2,g,O,,,,,
2021-12-03,main,A06AB05,castor oil,20.0,g,O,,,,,
2021-12-03,main,A06AB06,senna glycosides,,,,,,,,
2021-12-03,main,A06AB07,cascara,,,,,,,,
2021-12-03,main,A06AB08,sodium picosulfate,5.0,mg,O,,,,,
2021-12-03,main,A06AB09,bisoxatin,0.12,g,O,,,,,
2021-12-03,main,A06AB20,contact laxatives in combination,,,,,,,,
2021-12-03,main,A06AB30,contact laxatives in combination with belladonna alkaloids,,,,,,,,
